"","i","TAZ12","value","year","dailyCapacity","hourlyCapacity","cost"
"1",1,130,1,2050,500,324,1262491
"2",1,163,1,2050,500,324,1262491
"3",1,171,1,2050,500,324,1262491
"4",1,172,1,2050,500,324,1262491
"5",1,227,1,2050,500,324,1262491
"6",1,258,1,2050,500,324,1262491
"7",1,345,1,2050,500,324,1262491
"8",1,2520,1,2050,500,324,1262491
"9",1,2603,1,2050,500,324,1262491
"10",1,2913,1,2050,500,324,1262491
"11",1,2934,1,2050,500,324,1262491
"12",1,3022,1,2050,500,324,1262491
"13",1,3034,1,2050,500,324,1262491
"14",2,247,1,2050,750,324,1649413
"15",2,257,1,2050,750,324,1649413
"16",2,258,1,2050,750,324,1649413
"17",2,276,1,2050,750,324,1649413
"18",2,460,1,2050,750,324,1649413
"19",2,923,1,2050,750,324,1649413
"20",2,2703,1,2050,750,324,1649413
"21",2,3300,1,2050,750,324,1649413
"22",2,3350,1,2050,750,324,1649413
"23",3,246,1,2050,1000,324,1896504
"24",3,248,1,2050,1000,324,1896504
"25",3,2530,1,2050,1000,324,1896504
"26",3,3021,1,2050,1000,324,1896504
"27",3,3030,1,2050,1000,324,1896504
"28",3,3213,1,2050,1000,324,1896504
"29",4,158,1,2050,1500,324,2509117.08
"30",4,228,1,2050,1500,324,2509117.08
"31",4,242,1,2050,1500,324,2509117.08
"32",4,251,1,2050,1500,324,2509117.08
"33",4,803,1,2050,1500,324,2509117.08
"34",4,2602,1,2050,1500,324,2509117.08
"35",4,2772,1,2050,1500,324,2509117.08
"36",4,3008,1,2050,1500,324,2509117.08
"37",4,3362,1,2050,1500,324,2509117.08
"38",5,233,1,2050,3000,540,4397993.4
"39",5,235,1,2050,3000,540,4397993.4
"40",5,251,1,2050,3000,540,4397993.4
"41",5,256,1,2050,3000,540,4397993.4
"42",5,2742,1,2050,3000,540,4397993.4
"43",5,2904,1,2050,3000,540,4397993.4
"44",5,3014,1,2050,3000,540,4397993.4
"45",5,3018,1,2050,3000,540,4397993.4
"46",5,3029,1,2050,3000,540,4397993.4
"47",5,3100,1,2050,3000,540,4397993.4
"48",6,2923,1,2050,5000,648,5947404.11
"49",6,3013,1,2050,5000,648,5947404.11
"50",6,3019,1,2050,5000,648,5947404.11
"51",6,3303,1,2050,5000,648,5947404.11
"52",6,3317,1,2050,5000,648,5947404.11
"53",6,5637,1,2050,5000,648,5947404.11
"54",7,170,1,2050,7500,648,7781636
"55",7,244,1,2050,7500,648,7781636
"56",7,274,1,2050,7500,648,7781636
"57",7,280,1,2050,7500,648,7781636
"58",7,286,1,2050,7500,648,7781636
"59",7,1933,1,2050,7500,648,7781636
"60",7,3364,1,2050,7500,648,7781636
"61",7,3629,1,2050,7500,648,7781636
"62",7,6103,1,2050,7500,648,7781636
